12,46,08
39,00,82
45,51,61
64,39,27
42,97,90
88,29,06
05,08,40
21,55,21
21,74,85
41,13,05
42,57,14
53,49,88
03,42,01
29,30,12
10,41,68
29,21,96
64,44,44
36,14,42
28,12,77
81,39,88
79,08,91
66,44,67
97,99,79
53,24,83
63,29,62
47,98,06
88,37,77
27,63,43
44,51,50
96,97,03
34,04,52
03,69,15
30,17,18
37,91,79
90,06,93
91,55,81
06,75,71
10,94,30
39,14,59
30,64,76
76,18,75
68,38,20
91,32,84
80,28,48
23,47,54
23,56,44
91,27,23
78,17,05
13,75,89
54,38,53
39,49,35
21,32,00
05,84,52
52,68,56
22,91,30
50,10,39
14,77,65
07,23,27
78,92,05
53,91,69
20,97,50
02,60,65
59,05,23
75,01,92
23,26,59
76,96,74
43,35,98
68,74,50
25,59,23
02,85,18
53,19,02
21,59,26
25,99,43
99,51,26
85,30,28
47,06,94
57,30,25
44,11,49
78,62,87
03,38,04
75,48,32
61,15,06
47,82,14
33,38,16
03,91,97
43,95,82
37,58,38
12,30,49
96,11,73
62,79,91
24,00,12
38,97,02
24,65,10
77,48,22
89,12,20
86,84,49
19,54,25
21,54,12
03,49,21
08,90,38
83,13,21
92,99,58
52,21,56
44,75,01
36,11,52
62,37,25
93,55,37
65,18,86
01,84,02
40,17,75
42,95,21
61,77,81
39,06,23
31,06,79
83,87,84
24,84,64
31,75,58
65,47,43
48,04,43
48,31,11
92,08,80
12,42,15
87,79,32
05,26,88
81,12,90
21,01,00
57,86,80
10,99,78
39,57,77
06,49,38
44,84,91
64,20,97
90,67,80
59,95,37
30,33,34
30,09,52
94,96,70
90,23,34
94,78,24
35,20,04
38,47,93
86,22,00
63,10,25
87,47,22
92,65,74
54,97,48
68,81,03
88,32,21
77,87,51
61,18,62
46,06,56
05,37,33
22,47,15
20,70,86
88,61,76
12,34,48
19,50,67
71,33,91
89,73,27
49,49,28
60,25,26
65,95,31
37,73,85
83,59,50
37,19,71
13,78,47
22,06,24
79,53,21
59,77,13
60,36,09
55,77,31
80,10,97
99,98,32
15,05,67
61,03,71
98,39,13
93,05,20
29,63,27
02,20,89
31,19,70
36,02,90
73,60,97
65,11,14
42,71,08
74,13,03
63,67,16
56,82,41
06,29,70
75,39,74
98,14,51
46,19,82
95,39,43
31,38,76
39,22,62
98,33,79
53,12,67
70,59,48
90,42,74
94,77,40
74,08,77
57,30,51
57,80,01
44,79,25
96,95,61
85,90,54
93,45,72
20,44,52
32,43,43
55,48,90
52,22,92
51,24,61
53,07,58
81,18,46
64,74,23
68,00,68
98,11,52
13,73,50
93,61,63
90,78,86
42,04,15
01,95,61
91,33,74
63,14,62
43,48,08
29,08,15
49,28,07
69,56,07
60,43,71
08,93,51
50,77,43
16,34,24
38,79,17
27,65,88
83,96,21
21,02,79
56,21,51
03,83,89
53,10,61
57,64,28
01,09,20
47,18,40
83,73,15
16,78,30
28,22,23
63,91,83
96,48,20
56,76,12
15,64,97
72,42,35
55,35,22
28,30,8
71,36,0
62,51,37
34,45,1
51,49,79
74,73,61
16,51,89
16,34,38
61,64,0
55,23,8
72,22,9
86,61,59
82,37,93
37,26,83
99,07,4
85,61,60
76,82,0
13,59,5
40,26,3
27,76,21
39,52,12
77,56,1
29,32,24
65,98,37
28,75,28
16,43,6
88,98,51
81,37,69
66,51,3
80,30,49
